raw_file_name	bis_processed_file	code	sample_id	label	band	year	min_age	cap_doy	age_group	age_note	treatment	group	lib_prep_batch	seq_run	pool	meth_seqs	meth_conv	unmeth_seqs	unmeth_conv	notes			mass	bhead	fwing	b_cort	s_cort	d_cort			
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_2_222153407_1pre_F45_TCATTC_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_2_222153407_1pre_F45_TCATTC_R1_trimmed_bismark_bt2.bismark.cov.gz	222153407_1pre	T_045	4	222153407	2015	8	138	ASY	ASY when first caught in 2009	cort	1pre	2	3	B_2	258	1.89	61	100	tube says 53406?		222153407_2015_138	24	28.8	120	0.38	20.34	27.18			
11922_11163_124347_H7HJ7BGXG_Taff_C_1_222154163_1pre_E42_TAATCG_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_1_222154163_1pre_E42_TAATCG_R1_trimmed_bismark_bt2.bismark.cov.gz	222154163_1pre	T_049	5	222154163	2015	7	140	ASY	ASY when first caught in 2010	control	1pre	2	4	C_1	141	0.82	66	99.86			222154163_2015_140	20.5	28.5	118	11.28	55.6				
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_1_240150266_1pre_D39_CTATAC_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_1_240150266_1pre_D39_CTATAC_R1_trimmed_bismark_bt2.bismark.cov.gz	240150266_1pre	RR_002	8	240150266	2015	3	139	ASY	ASY when first caught in 2014	control	1pre	2	3	B_1	326	1.67	224	99.59			240150266_2015_139	23	28.7	116	1.42	19.99	14.05			
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_3_240150269_1pre_B32_CACTCA_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_3_240150269_1pre_B32_CACTCA_R1_trimmed_bismark_bt2.bismark.cov.gz	240150269_1pre	T_057	9	240150269	2015	3	145	ASY	ASY when first caught in 2014	control	1pre	2	3	B_3	181	2.21	108	99.86			240150269_2015_145	23	27.8	117	1.49	18.44				
11667_11163_118597_HHM5FBGXF_Taff_Pool_4_T_019_A17_GTAGAG_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_4_T_019_A17_GTAGAG_R1_trimmed_bismark_bt2.bismark.cov.gz	240150270_1pre	T_019	10	240150270	2015	3	142	ASY	ASY when first caught in 2014	control	1pre	1	1	X_4	417	1.45	415	99.15			240150270_2015_142	21.5	28.8	117	2.22	55.44				
11667_11163_118597_HHM5FBGXF_Taff_Pool_3_T_023_A24_GGTAGC_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_3_T_023_A24_GGTAGC_R1_trimmed_bismark_bt2.bismark.cov.gz	240150278_1pre	T_023	12	240150278	2015	3	145	ASY	ASY when first caught in 2014	control	1pre	1	1	X_3	419	1.68	468	99.32			240150278_2015_145	22.5	28.6	118	2.3	26.27	36.71			
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_2_240150280_1pre_D40_CTCAGA_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_2_240150280_1pre_D40_CTCAGA_R1_trimmed_bismark_bt2.bismark.cov.gz	240150280_1pre	T_048	13	240150280	2015	2	140	ASY	SY in 2014	control	1pre	2	2	A_2	542	1.42	197	99.77			240150280_2015_140	23	27.8	123	9.11	35.72	32.3			
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_2_240150281_1pre_E41_GCGCTA_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_2_240150281_1pre_E41_GCGCTA_R1_trimmed_bismark_bt2.bismark.cov.gz	240150281_1pre	T_052	14	240150281	2015	2	141	ASY	SY in 2014	cort	1pre	2	3	B_2	239	6.16	240	99.54			240150281_2015_141	20	28.5	116	4.7	89.23	52.58			
11923_11163_124350_HFG22BGXG_Taff_D_3_240150287_1pre_D37_CGGAAT_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_3_240150287_1pre_D37_CGGAAT_R1_trimmed_bismark_bt2.bismark.cov.gz	240150287_1pre	T_056	15	240150287	2015	2	145	ASY	SY in 2014	control	1pre	2	5	D_3	11	1.79	72	99.15			240150287_2015_145	24	29	116	2.7	25.28				
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_1_240150299_1pre_F46_TCCCGA_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_1_240150299_1pre_F46_TCCCGA_R1_trimmed_bismark_bt2.bismark.cov.gz	240150299_1pre	RR_003	16	240150299	2015	3	147	ASY	ASY when first caught in 2014	cort	1pre	2	2	A_1	46	1.82	151	99.67			240150299_2015_147	23	28	120.5	5.9	19.21	17.04			
11667_11163_118597_HHM5FBGXF_Taff_Pool_3_T_009_A26_ATGAGC_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_3_T_009_A26_ATGAGC_R1_trimmed_bismark_bt2.bismark.cov.gz	259122567_1pre	T_009	20	259122567	2015	1	139	SY	SY in 2015	cort	1pre	1	1	X_3	262	1.58	283	99.43			259122567_2015_139	23.7	28.2	119	0.84	28.33	24.62			
11923_11163_124350_HFG22BGXG_Taff_D_3_262125512_1pre_E41_GCGCTA_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_3_262125512_1pre_E41_GCGCTA_R1_trimmed_bismark_bt2.bismark.cov.gz	262125512_1pre	T_073	21	262125512	2015	2	155	ASY	first caught ASY in 2015	control	1pre	2	5	D_3	17	0	63	99.93			262125512_2015_155	18.8	28.75	114	1.46	61.5				
11667_11163_118597_HHM5FBGXF_Taff_Pool_4_T_016_A28_CAAAAG_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_4_T_016_A28_CAAAAG_R1_trimmed_bismark_bt2.bismark.cov.gz	262125706_1pre	T_016	22	262125706	2015	1	141	SY	SY in 2015	cort	1pre	1	1	X_4	1181	1.04	846	99.74	578		262125706_2015_141	19.8	27.5	114	4.95	51.77	22.65			
