Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0009881~photoreceptor activity	4	12.5	1.4124583965240054E-6	OPN1SW, RHO, LWS, LOC751972	20	4	2541	127.05000000000001	1.2146413052749327E-4	1.2288388049758848E-4	1.2288388049758848E-4
GOTERM_MF_3	GO:0009881~photoreceptor activity	4	12.5	1.5564429668314777E-6	OPN1SW, RHO, LWS, LOC751972	20	4	2460	123.0	3.5797575347884525E-5	3.5798188237123986E-5	3.5798188237123986E-5
GOTERM_MF_ALL	GO:0009881~photoreceptor activity	4	12.5	1.5633922339797776E-6	OPN1SW, RHO, LWS, LOC751972	21	4	2593	123.47619047619047	1.4538502199090697E-4	1.4539547776011932E-4	1.4539547776011932E-4
GOTERM_MF_DIRECT	GO:0009881~photoreceptor activity	4	12.5	1.5633922339797776E-6	OPN1SW, RHO, LWS, LOC751972	21	4	2593	123.47619047619047	4.221073241672535E-5	4.2211590317453996E-5	4.2211590317453996E-5
GOTERM_BP_ALL	GO:0016037~light absorption	4	12.5	1.6971293972415073E-6	OPN1SW, RHO, LWS, LOC751972	18	4	2124	118.0	7.295000454312639E-4	4.538454855116503E-4	4.4329093933696075E-4
GOTERM_MF_4	GO:0009881~photoreceptor activity	4	12.5	1.7737575687485038E-6	OPN1SW, RHO, LWS, LOC751972	20	4	2355	117.75	5.143769214943639E-5	5.143896949370661E-5	5.143896949370661E-5
GOTERM_BP_FAT	GO:0016037~light absorption	4	12.5	1.825334461678694E-6	OPN1SW, RHO, LWS, LOC751972	18	4	2073	115.16666666666666	6.642016708000575E-4	4.1315708336389406E-4	4.006715671083918E-4
GOTERM_BP_3	GO:0016037~light absorption	4	12.5	1.8359287239413187E-6	OPN1SW, RHO, LWS, LOC751972	18	4	2069	114.94444444444444	2.4231345137404325E-4	2.4234259156025406E-4	2.4234259156025406E-4
GOTERM_BP_5	GO:0016037~light absorption	4	12.5	2.202620501022296E-6	OPN1SW, RHO, LWS, LOC751972	18	4	1947	108.16666666666666	4.4042756864404176E-4	3.651205081063432E-4	3.6146930302527973E-4
GOTERM_BP_ALL	GO:0018298~protein-chromophore linkage	4	12.5	4.221818469875817E-6	OPN1SW, RHO, LWS, LOC751972	18	5	2124	94.4	0.0018137389581186492	4.538454855116503E-4	4.4329093933696075E-4
GOTERM_BP_ALL	GO:0009583~detection of light stimulus	4	12.5	4.221818469875817E-6	OPN1SW, RHO, LWS, LOC751972	18	5	2124	94.4	0.0018137389581186492	4.538454855116503E-4	4.4329093933696075E-4
GOTERM_BP_ALL	GO:0007602~phototransduction	4	12.5	4.221818469875817E-6	OPN1SW, RHO, LWS, LOC751972	18	5	2124	94.4	0.0018137389581186492	4.538454855116503E-4	4.4329093933696075E-4
GOTERM_BP_DIRECT	GO:0018298~protein-chromophore linkage	4	12.5	4.221818469875817E-6	OPN1SW, RHO, LWS, LOC751972	18	5	2124	94.4	2.574983119090213E-4	1.287654633312124E-4	1.287654633312124E-4
GOTERM_BP_DIRECT	GO:0007602~phototransduction	4	12.5	4.221818469875817E-6	OPN1SW, RHO, LWS, LOC751972	18	5	2124	94.4	2.574983119090213E-4	1.287654633312124E-4	1.287654633312124E-4
GOTERM_BP_FAT	GO:0018298~protein-chromophore linkage	4	12.5	4.540187729273561E-6	OPN1SW, RHO, LWS, LOC751972	18	5	2073	92.13333333333333	0.0016512672406294726	4.1315708336389406E-4	4.006715671083918E-4
GOTERM_BP_FAT	GO:0009583~detection of light stimulus	4	12.5	4.540187729273561E-6	OPN1SW, RHO, LWS, LOC751972	18	5	2073	92.13333333333333	0.0016512672406294726	4.1315708336389406E-4	4.006715671083918E-4
GOTERM_BP_FAT	GO:0007602~phototransduction	4	12.5	4.540187729273561E-6	OPN1SW, RHO, LWS, LOC751972	18	5	2073	92.13333333333333	0.0016512672406294726	4.1315708336389406E-4	4.006715671083918E-4
GOTERM_BP_3	GO:0007602~phototransduction	4	12.5	4.566493951570322E-6	OPN1SW, RHO, LWS, LOC751972	18	5	2069	91.95555555555555	6.025969433853806E-4	3.0138860080364125E-4	3.0138860080364125E-4
GOTERM_BP_4	GO:0009583~detection of light stimulus	4	12.5	4.777424256398721E-6	OPN1SW, RHO, LWS, LOC751972	18	5	2038	90.57777777777777	8.738886640055066E-4	4.37134319460483E-4	4.3235689520408426E-4
GOTERM_BP_4	GO:0007602~phototransduction	4	12.5	4.777424256398721E-6	OPN1SW, RHO, LWS, LOC751972	18	5	2038	90.57777777777777	8.738886640055066E-4	4.37134319460483E-4	4.3235689520408426E-4
GOTERM_BP_5	GO:0007602~phototransduction	4	12.5	5.476807621595148E-6	OPN1SW, RHO, LWS, LOC751972	18	5	1947	86.53333333333333	0.0010947648311417923	3.651205081063432E-4	3.6146930302527973E-4
