Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_ALL	GO:0004675~transmembrane receptor protein serine/threonine kinase activity	6	37.5	2.240749053083651E-8	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	6	284	31.555555555555554	1.5909305799421958E-6	1.5909318276893923E-6	1.053152054949316E-6
GOTERM_MF_FAT	GO:0004675~transmembrane receptor protein serine/threonine kinase activity	6	37.5	2.3217777496022065E-8	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	6	282	31.333333333333332	1.4859366718189548E-6	1.5091555372414343E-6	1.021582209824971E-6
GOTERM_MF_5	GO:0004675~transmembrane receptor protein serine/threonine kinase activity	6	37.5	1.1000043989720961E-7	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	6	207	23.0	1.760005585826896E-6	1.7600070383553538E-6	1.2100048388693057E-6
GOTERM_MF_DIRECT	GO:0004675~transmembrane receptor protein serine/threonine kinase activity	5	31.25	1.3038485150113147E-6	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1	9	5	284	31.555555555555557	2.2165193554357643E-5	2.216542475519235E-5	2.216542475519235E-5
GOTERM_MF_ALL	GO:0004674~protein serine/threonine kinase activity	6	37.5	1.6488129057217844E-6	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	11	284	17.21212121212121	1.1705896088420875E-4	5.8532858153123345E-5	3.8747103284461936E-5
GOTERM_MF_FAT	GO:0004674~protein serine/threonine kinase activity	6	37.5	1.7078691508048978E-6	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	11	282	17.09090909090909	1.0929774555357152E-4	5.5505747401159176E-5	3.757312131770775E-5
GOTERM_MF_ALL	GO:0019199~transmembrane receptor protein kinase activity	6	37.5	1.0330241087716249E-5	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	15	284	12.622222222222222	7.331819962326236E-4	2.444823724092846E-4	1.6184044370755457E-4
GOTERM_MF_FAT	GO:0019199~transmembrane receptor protein kinase activity	6	37.5	1.0697327569758518E-5	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	15	282	12.533333333333333	6.843983188984382E-4	2.3177543067810124E-4	1.568941376897916E-4
GOTERM_MF_4	GO:0019199~transmembrane receptor protein kinase activity	6	37.5	1.233146795224237E-5	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	15	274	12.177777777777777	2.4660046881241904E-4	2.466293590448474E-4	2.0963495518812027E-4
GOTERM_MF_5	GO:0019199~transmembrane receptor protein kinase activity	6	37.5	4.910768178012315E-5	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	15	207	9.2	7.854335870609574E-4	3.928614542409852E-4	2.7009224979067733E-4
GOTERM_MF_ALL	GO:0004672~protein kinase activity	6	37.5	6.618922377336176E-5	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	21	284	9.015873015873016	0.004688564624685809	0.0011748587219771714	7.777233793370007E-4
GOTERM_MF_FAT	GO:0004672~protein kinase activity	6	37.5	6.85124242950676E-5	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	21	282	8.952380952380953	0.004375345531988706	0.0011133268947948484	7.536366672457436E-4
GOTERM_MF_ALL	GO:0016772~transferase activity, transferring phosphorus-containing groups	6	37.5	1.6639409096458894E-4	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	25	284	7.573333333333333	0.01174544084680218	0.001687711494069402	0.0011172174679050973
GOTERM_MF_ALL	GO:0016773~phosphotransferase activity, alcohol group as acceptor	6	37.5	1.6639409096458894E-4	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	25	284	7.573333333333333	0.01174544084680218	0.001687711494069402	0.0011172174679050973
GOTERM_MF_ALL	GO:0016301~kinase activity	6	37.5	1.6639409096458894E-4	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	25	284	7.573333333333333	0.01174544084680218	0.001687711494069402	0.0011172174679050973
GOTERM_MF_FAT	GO:0016773~phosphotransferase activity, alcohol group as acceptor	6	37.5	1.7218466592323832E-4	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	25	282	7.52	0.01096026127113725	0.001865333880835082	0.0012626875501037477
GOTERM_MF_FAT	GO:0016301~kinase activity	6	37.5	1.7218466592323832E-4	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	25	282	7.52	0.01096026127113725	0.001865333880835082	0.0012626875501037477
GOTERM_MF_3	GO:0016772~transferase activity, transferring phosphorus-containing groups	6	37.5	1.8133040568249015E-4	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	25	279	7.4399999999999995	0.0034396608787814476	0.003445277707967313	0.002538625679554862
GOTERM_MF_4	GO:0016301~kinase activity	6	37.5	1.9790320095670815E-4	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	25	274	7.306666666666667	0.003950631369241009	0.001319354673044721	0.0011214514720880129
GOTERM_MF_4	GO:0016773~phosphotransferase activity, alcohol group as acceptor	6	37.5	1.9790320095670815E-4	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	25	274	7.306666666666667	0.003950631369241009	0.001319354673044721	0.0011214514720880129
GOTERM_MF_5	GO:0004672~protein kinase activity	6	37.5	3.076281917458632E-4	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	21	207	6.57142857142857	0.0049107111420826355	0.0016406836893112704	0.0011279700364014984
GOTERM_CC_ALL	GO:0016021~integral component of membrane	7	43.75	7.61562853102856E-4	ACVRL1, ACVR1, NETO1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	7	90	292	3.2444444444444445	0.04540969672357076	0.02322766701963711	0.02322766701963711
GOTERM_CC_ALL	GO:0031224~intrinsic component of membrane	7	43.75	7.61562853102856E-4	ACVRL1, ACVR1, NETO1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	7	90	292	3.2444444444444445	0.04540969672357076	0.02322766701963711	0.02322766701963711
GOTERM_MF_ALL	GO:0016740~transferase activity	6	37.5	9.230123097521734E-4	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	35	284	5.409523809523809	0.06346102187538138	0.005382827517562004	0.0035632801876818903
GOTERM_MF_ALL	GO:0004888~transmembrane signaling receptor activity	6	37.5	9.230123097521734E-4	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	35	284	5.409523809523809	0.06346102187538138	0.005382827517562004	0.0035632801876818903
GOTERM_MF_ALL	GO:0099600~transmembrane receptor activity	6	37.5	9.230123097521734E-4	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	35	284	5.409523809523809	0.06346102187538138	0.005382827517562004	0.0035632801876818903
GOTERM_MF_2	GO:0016740~transferase activity	6	37.5	9.544145090993464E-4	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	35	282	5.371428571428571	0.010448602886786063	0.004023901359371955	0.003658092144883596
GOTERM_MF_FAT	GO:0099600~transmembrane receptor activity	6	37.5	9.544145090993464E-4	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	35	282	5.371428571428571	0.059281840706219224	0.005944399735435844	0.004023901359371955
GOTERM_MF_FAT	GO:0004888~transmembrane signaling receptor activity	6	37.5	9.544145090993464E-4	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	35	282	5.371428571428571	0.059281840706219224	0.005944399735435844	0.004023901359371955
GOTERM_MF_3	GO:0099600~transmembrane receptor activity	6	37.5	0.00100395207796574	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	35	279	5.314285714285714	0.018903711808199386	0.005482690720000389	0.004039877372631865
GOTERM_MF_3	GO:0004888~transmembrane signaling receptor activity	6	37.5	0.00100395207796574	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	35	279	5.314285714285714	0.018903711808199386	0.005482690720000389	0.004039877372631865
GOTERM_MF_1	GO:0004871~signal transducer activity	6	37.5	0.0010614026090967333	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	36	284	5.259259259259259	0.005295759241654818	0.0026535065227418332	0.0026535065227418332
GOTERM_MF_1	GO:0060089~molecular transducer activity	6	37.5	0.0010614026090967333	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	36	284	5.259259259259259	0.005295759241654818	0.0026535065227418332	0.0026535065227418332
GOTERM_MF_ALL	GO:0060089~molecular transducer activity	6	37.5	0.0010614026090967333	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	9	36	284	5.259259259259259	0.0726271723971218	0.005382827517562004	0.0035632801876818903
