Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0045095~keratin filament	8	4.571428571428571	1.8389604573215915E-9	LOC100227468, LOC115491358, LOC100224644, LOC115491353, LOC100230278, LOC101233849, LOC100229354, LOC100224585	59	9	1613	24.301318267419965	3.328517824696675E-7	3.328518427752081E-7	3.2733496140324327E-7
GOTERM_CC_ALL	GO:0045095~keratin filament	8	4.571428571428571	1.0149063213163442E-8	LOC100227468, LOC115491358, LOC100224644, LOC115491353, LOC100230278, LOC101233849, LOC100229354, LOC100224585	116	9	2566	19.662835249042146	2.2632385565657387E-6	2.2632410965354474E-6	2.253092033322284E-6
GOTERM_CC_DIRECT	GO:0045095~keratin filament	8	4.571428571428571	1.0149063213163442E-8	LOC100227468, LOC115491358, LOC100224644, LOC115491353, LOC100230278, LOC101233849, LOC100229354, LOC100224585	116	9	2566	19.662835249042146	9.134152805234663E-7	9.134156891847098E-7	9.134156891847098E-7
GOTERM_MF_ALL	GO:0004675~transmembrane receptor protein serine/threonine kinase activity	6	3.428571428571429	2.0354523919820166E-6	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	107	7	2596	20.79572763684913	4.5787239871353247E-4	4.5797678819595373E-4	4.131968355723494E-4
GOTERM_MF_5	GO:0004675~transmembrane receptor protein serine/threonine kinase activity	6	3.428571428571429	2.244973792753557E-6	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	78	7	1836	20.175824175824175	1.0999778912235136E-4	1.1000371584492428E-4	8.530900412463516E-5
GOTERM_MF_FAT	GO:0004675~transmembrane receptor protein serine/threonine kinase activity	6	3.428571428571429	2.2536096508585314E-6	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1, BMPR1A	107	7	2543	20.371161548731642	4.934192983103713E-4	4.935405135380184E-4	4.4396110121913067E-4
GOTERM_MF_2	GO:0097159~organic cyclic compound binding	65	37.142857142857146	2.4399940232261527E-6	ACVRL1, LOC100226815, LOC100227703, HNF4G, RAX, IKZF1, NR2E1, NR2E3, ZCCHC14, SIX6, HNF4A, AKT3, PIM1, HOXA3, AKT1, PIM3, KIF1B, KIF1A, PKNOX1, MNX1, NKX3-2, PKNOX2, LOC115491417, ACVR1, NCOA5, TGFBR1, NCOR2, NR5A2, SRSF3, SGK1, ALPK1, SGK2, IGHMBP2, GATA6, GATA5, GATA4, ACVR1B, HSPA14, HSPA13, RXRA, ALX1, LOC100221543, HSPA9, HSPA8, HSPA5, PTCH1, FOXJ1, ESRRG, ARID3A, NR2F2, HSPA2, ARID3B, LOC100230362, MEX3D, LOC100231693, DCLK1, NR2F6, RAX2, FOSL2, MYO1D, MEX3B, MEX3A, PTK7, BMPR1B, BMPR1A	102	1046	2567	1.5638942001274696	6.58777489674911E-5	6.587983862710612E-5	5.855985655742767E-5
GOTERM_MF_2	GO:1901363~heterocyclic compound binding	64	36.57142857142857	5.065826187539372E-6	ACVRL1, LOC100226815, LOC100227703, HNF4G, RAX, IKZF1, NR2E1, NR2E3, ZCCHC14, SIX6, HNF4A, AKT3, PIM1, HOXA3, AKT1, PIM3, KIF1B, KIF1A, PKNOX1, MNX1, NKX3-2, PKNOX2, LOC115491417, ACVR1, NCOA5, TGFBR1, NCOR2, NR5A2, SRSF3, SGK1, ALPK1, SGK2, IGHMBP2, GATA6, GATA5, GATA4, ACVR1B, HSPA14, HSPA13, RXRA, ALX1, LOC100221543, HSPA9, HSPA8, HSPA5, FOXJ1, ESRRG, ARID3A, NR2F2, HSPA2, ARID3B, LOC100230362, MEX3D, LOC100231693, DCLK1, NR2F6, RAX2, FOSL2, MYO1D, MEX3B, MEX3A, PTK7, BMPR1B, BMPR1A	102	1040	2567	1.5487179487179488	1.367682998728581E-4	6.838865353178152E-5	6.0789914250472464E-5
GOTERM_CC_FAT	GO:0045111~intermediate filament cytoskeleton	9	5.142857142857142	7.087417757908213E-6	LOC100227468, LOC115491358, LOC100224644, LOC115491353, LOC100230278, LOC101233849, LOC100229354, LDLRAP1, LOC100224585	59	31	1613	7.9371241115363595	0.0012820046891236503	4.276075380604622E-4	4.20520120302554E-4
GOTERM_CC_FAT	GO:0005882~intermediate filament	9	5.142857142857142	7.087417757908213E-6	LOC100227468, LOC115491358, LOC100224644, LOC115491353, LOC100230278, LOC101233849, LOC100229354, LDLRAP1, LOC100224585	59	31	1613	7.9371241115363595	0.0012820046891236503	4.276075380604622E-4	4.20520120302554E-4
GOTERM_MF_DIRECT	GO:0043565~sequence-specific DNA binding	11	6.2857142857142865	1.0012445129159752E-5	RXRA, HNF4A, LOC100227703, HNF4G, FOXJ1, ESRRG, GATA4, NR2E1, NR2F2, NR2F6, LOC115491417	107	46	2596	5.8017066233238515	0.0010207531925841007	6.498293145632749E-4	6.116040607654352E-4
GOTERM_MF_DIRECT	GO:0004675~transmembrane receptor protein serine/threonine kinase activity	5	2.857142857142857	1.2741751265946566E-5	ACVRL1, ACVR1, BMPR1B, ACVR1B, TGFBR1	107	5	2596	24.261682242990652	0.0012988227078924997	6.498293145632749E-4	6.116040607654352E-4
GOTERM_MF_ALL	GO:0097159~organic cyclic compound binding	65	37.142857142857146	1.6238204894059746E-5	ACVRL1, LOC100226815, LOC100227703, HNF4G, RAX, IKZF1, NR2E1, NR2E3, ZCCHC14, SIX6, HNF4A, AKT3, PIM1, HOXA3, AKT1, PIM3, KIF1B, KIF1A, PKNOX1, MNX1, NKX3-2, PKNOX2, LOC115491417, ACVR1, NCOA5, TGFBR1, NCOR2, NR5A2, SRSF3, SGK1, ALPK1, SGK2, IGHMBP2, GATA6, GATA5, GATA4, ACVR1B, HSPA14, HSPA13, RXRA, ALX1, LOC100221543, HSPA9, HSPA8, HSPA5, PTCH1, FOXJ1, ESRRG, ARID3A, NR2F2, HSPA2, ARID3B, LOC100230362, MEX3D, LOC100231693, DCLK1, NR2F6, RAX2, FOSL2, MYO1D, MEX3B, MEX3A, PTK7, BMPR1B, BMPR1A	107	1046	2596	1.5076571183502796	0.0036469593960637425	0.0018267980505817215	0.0016481777967470642
GOTERM_MF_ALL	GO:1901363~heterocyclic compound binding	64	36.57142857142857	3.083864557487986E-5	ACVRL1, LOC100226815, LOC100227703, HNF4G, RAX, IKZF1, NR2E1, NR2E3, ZCCHC14, SIX6, HNF4A, AKT3, PIM1, HOXA3, AKT1, PIM3, KIF1B, KIF1A, PKNOX1, MNX1, NKX3-2, PKNOX2, LOC115491417, ACVR1, NCOA5, TGFBR1, NCOR2, NR5A2, SRSF3, SGK1, ALPK1, SGK2, IGHMBP2, GATA6, GATA5, GATA4, ACVR1B, HSPA14, HSPA13, RXRA, ALX1, LOC100221543, HSPA9, HSPA8, HSPA5, FOXJ1, ESRRG, ARID3A, NR2F2, HSPA2, ARID3B, LOC100230362, MEX3D, LOC100231693, DCLK1, NR2F6, RAX2, FOSL2, MYO1D, MEX3B, MEX3A, PTK7, BMPR1B, BMPR1A	107	1040	2596	1.4930265995686556	0.006914784342150981	0.0023128984181159896	0.002086748350566871
GOTERM_CC_5	GO:0045111~intermediate filament cytoskeleton	9	5.142857142857142	3.241712469025153E-5	LOC100227468, LOC115491358, LOC100224644, LOC115491353, LOC100230278, LOC101233849, LOC100229354, LDLRAP1, LOC100224585	82	31	1856	6.5712037765538955	0.004399095924976559	0.002204364478937104	0.002204364478937104
GOTERM_CC_5	GO:0005882~intermediate filament	9	5.142857142857142	3.241712469025153E-5	LOC100227468, LOC115491358, LOC100224644, LOC115491353, LOC100230278, LOC101233849, LOC100229354, LDLRAP1, LOC100224585	82	31	1856	6.5712037765538955	0.004399095924976559	0.002204364478937104	0.002204364478937104
GOTERM_MF_FAT	GO:0097159~organic cyclic compound binding	65	37.142857142857146	3.526719148986529E-5	ACVRL1, LOC100226815, LOC100227703, HNF4G, RAX, IKZF1, NR2E1, NR2E3, ZCCHC14, SIX6, HNF4A, AKT3, PIM1, HOXA3, AKT1, PIM3, KIF1B, KIF1A, PKNOX1, MNX1, NKX3-2, PKNOX2, LOC115491417, ACVR1, NCOA5, TGFBR1, NCOR2, NR5A2, SRSF3, SGK1, ALPK1, SGK2, IGHMBP2, GATA6, GATA5, GATA4, ACVR1B, HSPA14, HSPA13, RXRA, ALX1, LOC100221543, HSPA9, HSPA8, HSPA5, PTCH1, FOXJ1, ESRRG, ARID3A, NR2F2, HSPA2, ARID3B, LOC100230362, MEX3D, LOC100231693, DCLK1, NR2F6, RAX2, FOSL2, MYO1D, MEX3B, MEX3A, PTK7, BMPR1B, BMPR1A	107	1046	2543	1.4768767534532978	0.007693900383481056	0.0038617574681402496	0.003473818361751731
GOTERM_CC_ALL	GO:0005882~intermediate filament	9	5.142857142857142	4.239903509894039E-5	LOC100227468, LOC115491358, LOC100224644, LOC115491353, LOC100230278, LOC101233849, LOC100229354, LDLRAP1, LOC100224585	116	31	2566	6.422135706340379	0.009410625560270391	0.0031516616090212354	0.0031375285973215886
