Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005882~intermediate filament	6	11.76470588235294	7.289841551916029E-8	LOC105758845, LOC105758846, LOC105758847, LOC100218246, LOC105758859, LOC116809297	29	9	1814	41.701149425287355	1.7495605059147934E-6	1.7495619724598468E-6	1.6766635569406867E-6
GOTERM_CC_5	GO:0045111~intermediate filament cytoskeleton	6	11.76470588235294	7.602607287296863E-6	LOC105758845, LOC105758846, LOC105758847, LOC100218246, LOC105758859, LOC116809297	19	23	1316	18.068649885583525	3.6485995939750104E-4	1.824625748951247E-4	1.7485996760782785E-4
GOTERM_CC_5	GO:0005882~intermediate filament	6	11.76470588235294	7.602607287296863E-6	LOC105758845, LOC105758846, LOC105758847, LOC100218246, LOC105758859, LOC116809297	19	23	1316	18.068649885583525	3.6485995939750104E-4	1.824625748951247E-4	1.7485996760782785E-4
GOTERM_MF_ALL	GO:0005200~structural constituent of cytoskeleton	6	11.76470588235294	9.224966319134136E-6	LOC105758845, LOC105758846, LOC105758847, LOC100218246, LOC105758859, LOC116809297	29	21	1858	18.305418719211822	0.0010603134899619393	0.0010608711267004257	0.0010608711267004257
GOTERM_MF_DIRECT	GO:0005200~structural constituent of cytoskeleton	6	11.76470588235294	9.224966319134136E-6	LOC105758845, LOC105758846, LOC105758847, LOC100218246, LOC105758859, LOC116809297	29	21	1858	18.305418719211822	2.490442228123557E-4	2.490740906166217E-4	2.3984912429748755E-4
GOTERM_MF_2	GO:0005200~structural constituent of cytoskeleton	6	11.76470588235294	9.644327396486996E-6	LOC105758845, LOC105758846, LOC105758847, LOC100218246, LOC105758859, LOC116809297	29	21	1841	18.137931034482758	1.6394091657512266E-4	1.6395356574027892E-4	1.6395356574027892E-4
GOTERM_MF_FAT	GO:0005200~structural constituent of cytoskeleton	6	11.76470588235294	1.016735122534846E-5	LOC105758845, LOC105758846, LOC105758847, LOC100218246, LOC105758859, LOC116809297	29	21	1821	17.940886699507388	0.0010466943330094125	0.0010574045274362397	0.0010574045274362397
GOTERM_CC_ALL	GO:0045111~intermediate filament cytoskeleton	6	11.76470588235294	1.6766620223894292E-5	LOC105758845, LOC105758846, LOC105758847, LOC100218246, LOC105758859, LOC116809297	29	23	1814	16.31784107946027	0.0014743869710973634	7.377312898513488E-4	6.958147392916132E-4
GOTERM_CC_ALL	GO:0005882~intermediate filament	6	11.76470588235294	1.6766620223894292E-5	LOC105758845, LOC105758846, LOC105758847, LOC100218246, LOC105758859, LOC116809297	29	23	1814	16.31784107946027	0.0014743869710973634	7.377312898513488E-4	6.958147392916132E-4
GOTERM_CC_FAT	GO:0005882~intermediate filament	6	11.76470588235294	2.075975880033923E-5	LOC105758845, LOC105758846, LOC105758847, LOC100218246, LOC105758859, LOC116809297	20	23	1136	14.817391304347826	0.0011618830506738842	5.812732464094984E-4	5.3975372880882E-4
GOTERM_CC_FAT	GO:0045111~intermediate filament cytoskeleton	6	11.76470588235294	2.075975880033923E-5	LOC105758845, LOC105758846, LOC105758847, LOC100218246, LOC105758859, LOC116809297	20	23	1136	14.817391304347826	0.0011618830506738842	5.812732464094984E-4	5.3975372880882E-4
