"contig"	"start"	"end"	"location"
"918"	"Contig1043"	"400691"	"400691"	"Contig1043_400691_400691"
"965"	"Contig1043"	"496026"	"496026"	"Contig1043_496026_496026"
"1167"	"Contig10568"	"266877"	"266877"	"Contig10568_266877_266877"
"4409"	"Contig1168"	"315602"	"315602"	"Contig1168_315602_315602"
"5845"	"Contig11994"	"203224"	"203224"	"Contig11994_203224_203224"
"7191"	"Contig1256"	"66741"	"66741"	"Contig1256_66741_66741"
"8053"	"Contig12897"	"172960"	"172960"	"Contig12897_172960_172960"
"8056"	"Contig12897"	"172980"	"172980"	"Contig12897_172980_172980"
"9008"	"Contig1309"	"8311"	"8311"	"Contig1309_8311_8311"
"9196"	"Contig1309"	"383717"	"383717"	"Contig1309_383717_383717"
"9504"	"Contig13287"	"19181"	"19181"	"Contig13287_19181_19181"
"9990"	"Contig13501"	"10758"	"10758"	"Contig13501_10758_10758"
"9999"	"Contig1353"	"30385"	"30385"	"Contig1353_30385_30385"
"10887"	"Contig1387"	"248896"	"248896"	"Contig1387_248896_248896"
"11122"	"Contig14028"	"45215"	"45215"	"Contig14028_45215_45215"
"11528"	"Contig14240"	"14796"	"14796"	"Contig14240_14796_14796"
"13298"	"Contig15316"	"228276"	"228276"	"Contig15316_228276_228276"
"13749"	"Contig15348"	"840698"	"840698"	"Contig15348_840698_840698"
"14058"	"Contig15397"	"237167"	"237167"	"Contig15397_237167_237167"
"14282"	"Contig156"	"271004"	"271004"	"Contig156_271004_271004"
"15038"	"Contig15842"	"65786"	"65786"	"Contig15842_65786_65786"
"15088"	"Contig15843"	"54739"	"54739"	"Contig15843_54739_54739"
"17527"	"Contig16950"	"510617"	"510617"	"Contig16950_510617_510617"
"17561"	"Contig17063"	"2110"	"2110"	"Contig17063_2110_2110"
"20517"	"Contig18217"	"95955"	"95955"	"Contig18217_95955_95955"
"20661"	"Contig18323"	"16173"	"16173"	"Contig18323_16173_16173"
"20979"	"Contig1848"	"34502"	"34502"	"Contig1848_34502_34502"
"21711"	"Contig18671"	"155708"	"155708"	"Contig18671_155708_155708"
"21886"	"Contig18838"	"125860"	"125860"	"Contig18838_125860_125860"
"22007"	"Contig1889"	"183127"	"183127"	"Contig1889_183127_183127"
"23022"	"Contig19439"	"8292"	"8292"	"Contig19439_8292_8292"
"23242"	"Contig19608"	"32726"	"32726"	"Contig19608_32726_32726"
"23875"	"Contig1996"	"24603"	"24603"	"Contig1996_24603_24603"
"24031"	"Contig20134"	"47977"	"47977"	"Contig20134_47977_47977"
"25017"	"Contig2068"	"453235"	"453235"	"Contig2068_453235_453235"
"25633"	"Contig2068"	"1653086"	"1653086"	"Contig2068_1653086_1653086"
"26433"	"Contig209"	"350371"	"350371"	"Contig209_350371_350371"
"26859"	"Contig210"	"848222"	"848222"	"Contig210_848222_848222"
"27216"	"Contig210"	"1117902"	"1117902"	"Contig210_1117902_1117902"
"27324"	"Contig210"	"1274125"	"1274125"	"Contig210_1274125_1274125"
"29038"	"Contig2191"	"359753"	"359753"	"Contig2191_359753_359753"
"29098"	"Contig21930"	"127037"	"127037"	"Contig21930_127037_127037"
"29332"	"Contig22098"	"13433"	"13433"	"Contig22098_13433_13433"
"29598"	"Contig2216"	"732575"	"732575"	"Contig2216_732575_732575"
"29999"	"Contig22214"	"16199"	"16199"	"Contig22214_16199_16199"
"30389"	"Contig22276"	"782367"	"782367"	"Contig22276_782367_782367"
"31567"	"Contig2260"	"1071355"	"1071355"	"Contig2260_1071355_1071355"
"32643"	"Contig2299"	"29838"	"29838"	"Contig2299_29838_29838"
"32918"	"Contig23179"	"267652"	"267652"	"Contig23179_267652_267652"
"33500"	"Contig23745"	"21478"	"21478"	"Contig23745_21478_21478"
"33925"	"Contig243"	"44780"	"44780"	"Contig243_44780_44780"
"34232"	"Contig2441"	"486897"	"486897"	"Contig2441_486897_486897"
"35493"	"Contig2490"	"1150610"	"1150610"	"Contig2490_1150610_1150610"
"35995"	"Contig25249"	"13441"	"13441"	"Contig25249_13441_13441"
"37480"	"Contig26331"	"86274"	"86274"	"Contig26331_86274_86274"
"38041"	"Contig269"	"20363"	"20363"	"Contig269_20363_20363"
"39862"	"Contig2782"	"1187142"	"1187142"	"Contig2782_1187142_1187142"
"42098"	"Contig2882"	"66785"	"66785"	"Contig2882_66785_66785"
"45156"	"Contig31652"	"1060"	"1060"	"Contig31652_1060_1060"
"46201"	"Contig3243"	"72635"	"72635"	"Contig3243_72635_72635"
"47817"	"Contig3393"	"97188"	"97188"	"Contig3393_97188_97188"
"48301"	"Contig3394"	"612333"	"612333"	"Contig3394_612333_612333"
"48673"	"Contig3421"	"426599"	"426599"	"Contig3421_426599_426599"
"49505"	"Contig3461"	"674422"	"674422"	"Contig3461_674422_674422"
"49513"	"Contig3461"	"684741"	"684741"	"Contig3461_684741_684741"
"49813"	"Contig3462"	"144981"	"144981"	"Contig3462_144981_144981"
"50082"	"Contig3464"	"533071"	"533071"	"Contig3464_533071_533071"
"50083"	"Contig3464"	"533096"	"533096"	"Contig3464_533096_533096"
"51017"	"Contig3566"	"175332"	"175332"	"Contig3566_175332_175332"
"51071"	"Contig3566"	"204610"	"204610"	"Contig3566_204610_204610"
"52135"	"Contig3619"	"525601"	"525601"	"Contig3619_525601_525601"
"54059"	"Contig38665"	"776"	"776"	"Contig38665_776_776"
"54330"	"Contig3872"	"1123816"	"1123816"	"Contig3872_1123816_1123816"
"54578"	"Contig3897"	"164058"	"164058"	"Contig3897_164058_164058"
"55247"	"Contig40177"	"5010"	"5010"	"Contig40177_5010_5010"
"55292"	"Contig40372"	"48469"	"48469"	"Contig40372_48469_48469"
"56953"	"Contig4402"	"292166"	"292166"	"Contig4402_292166_292166"
"57349"	"Contig4458"	"772125"	"772125"	"Contig4458_772125_772125"
"57669"	"Contig44754"	"165"	"165"	"Contig44754_165_165"
"57963"	"Contig4563"	"82606"	"82606"	"Contig4563_82606_82606"
"58840"	"Contig4755"	"361147"	"361147"	"Contig4755_361147_361147"
"59487"	"Contig4814"	"8929"	"8929"	"Contig4814_8929_8929"
"59544"	"Contig4814"	"12283"	"12283"	"Contig4814_12283_12283"
"59565"	"Contig4814"	"14330"	"14330"	"Contig4814_14330_14330"
