"contig"	"start"	"end"	"location"
"261"	"Contig10037"	"39717"	"39717"	"Contig10037_39717_39717"
"332"	"Contig10050"	"45283"	"45283"	"Contig10050_45283_45283"
"333"	"Contig10050"	"45298"	"45298"	"Contig10050_45298_45298"
"462"	"Contig10210"	"5488"	"5488"	"Contig10210_5488_5488"
"513"	"Contig10210"	"198138"	"198138"	"Contig10210_198138_198138"
"650"	"Contig10324"	"114"	"114"	"Contig10324_114_114"
"800"	"Contig10427"	"114518"	"114518"	"Contig10427_114518_114518"
"803"	"Contig10427"	"136518"	"136518"	"Contig10427_136518_136518"
"1018"	"Contig1043"	"626376"	"626376"	"Contig1043_626376_626376"
"1094"	"Contig10501"	"119516"	"119516"	"Contig10501_119516_119516"
"1351"	"Contig10725"	"102478"	"102478"	"Contig10725_102478_102478"
"1492"	"Contig10876"	"217055"	"217055"	"Contig10876_217055_217055"
"1871"	"Contig1106"	"45051"	"45051"	"Contig1106_45051_45051"
"2025"	"Contig1106"	"750787"	"750787"	"Contig1106_750787_750787"
"2034"	"Contig1106"	"762385"	"762385"	"Contig1106_762385_762385"
"2325"	"Contig11199"	"9175"	"9175"	"Contig11199_9175_9175"
"2575"	"Contig11276"	"2423"	"2423"	"Contig11276_2423_2423"
"2589"	"Contig11276"	"2473"	"2473"	"Contig11276_2473_2473"
"4335"	"Contig1168"	"241328"	"241328"	"Contig1168_241328_241328"
"4436"	"Contig1168"	"344095"	"344095"	"Contig1168_344095_344095"
"5275"	"Contig11865"	"165702"	"165702"	"Contig11865_165702_165702"
"6004"	"Contig1203"	"6820"	"6820"	"Contig1203_6820_6820"
"6381"	"Contig12106"	"920"	"920"	"Contig12106_920_920"
"6572"	"Contig12283"	"17851"	"17851"	"Contig12283_17851_17851"
"6955"	"Contig12476"	"195902"	"195902"	"Contig12476_195902_195902"
"7101"	"Contig12490"	"377774"	"377774"	"Contig12490_377774_377774"
"7274"	"Contig12618"	"32929"	"32929"	"Contig12618_32929_32929"
"7379"	"Contig12670"	"260724"	"260724"	"Contig12670_260724_260724"
"7394"	"Contig12670"	"297879"	"297879"	"Contig12670_297879_297879"
"7667"	"Contig12833"	"1541"	"1541"	"Contig12833_1541_1541"
"7688"	"Contig12833"	"12599"	"12599"	"Contig12833_12599_12599"
"7896"	"Contig12897"	"65461"	"65461"	"Contig12897_65461_65461"
"7897"	"Contig12897"	"65489"	"65489"	"Contig12897_65489_65489"
"8420"	"Contig12977"	"553764"	"553764"	"Contig12977_553764_553764"
