"location"	"n"	"trt_p"	"trt_eff"	"pre_p"	"pre_eff"	"intercept"	"singular"	"r2m"	"r2c"	"message"	"cont_est"	"cort_est"	"cont_min_cort"	"trt_q"	"pre_q"	"sig"	"contig"	"start"	"end"
"47"	"Contig10234_8054_8054"	7	0.000418553780086719	-1.68249873471724	0.432253250057091	0.217576083596677	2.36834827247672	FALSE	0.839182679258218	0.964647078494063	NA	0.914381638831008	0.665043000649896	0.249338638181112	0.019766773273315	0.404069117619277	"yes"	"Contig10234"	"8054"	"8054"
"108"	"Contig10501_118942_118942"	11	0.000405894580162279	-0.79294158728041	0.144692976486883	-0.142593029462011	1.80093468379619	FALSE	0.724238043428464	0.804818022497483	NA	0.858262675457851	0.732627211370687	0.125635464087163	0.0194146807390621	0.218751540089518	"yes"	"Contig10501"	"118942"	"118942"
"829"	"Contig1168_393069_393069"	11	5.3677529666632e-05	0.958551479094689	0.609545896675213	-0.0625281388558883	0.898740036099949	FALSE	0.751055776589515	0.801254561929336	NA	0.710690510853465	0.864980939631593	-0.154290428778128	0.00404574890595695	0.477499394594425	"yes"	"Contig1168"	"393069"	"393069"
"903"	"Contig11969_879839_879839"	9	4.94321051061562e-05	-0.887297666240662	0.000273461954157226	-0.445964355295646	1.51881364862212	FALSE	0.800314344488142	0.800946361339146	NA	0.820363717885958	0.652833127083805	0.167530590802153	0.00380258535008388	0.00225759920888733	"yes"	"Contig11969"	"879839"	"879839"
"1234"	"Contig13072_265318_265318"	8	0.000344572816386538	-0.609954013200756	0.17539596613269	0.109948029758817	0.962311653366878	FALSE	0.751010502180948	0.840119945702514	NA	0.72358439783857	0.587189183522106	0.136395214316465	0.0169152734925687	0.244871339757046	"yes"	"Contig13072"	"265318"	"265318"
"1821"	"Contig1571_1098191_1098191"	7	0.000699105471755941	-3.91161311961624	0.00810770239291472	-1.99330303092295	0.0292895379240583	FALSE	0.936054090085449	0.983539132108196	NA	0.507321861050463	0.0201869866006664	0.487134874449797	0.0296280181073255	0.0312125548533574	"yes"	"Contig1571"	"1098191"	"1098191"
"1902"	"Contig15900_12864_12864"	8	0.000921944712552308	1.36875391650829	0.87147831818184	0.0336007665144118	-2.57878811563399	FALSE	0.67498668997782	0.964213715072898	NA	0.0705161208229836	0.229694999868079	-0.159178879045095	0.036207027870372	0.560454189162266	"yes"	"Contig15900"	"12864"	"12864"
"1923"	"Contig15900_13756_13756"	8	5.5021079102581e-06	-0.884375199125793	0.363098580291426	0.119533002939025	0.467664874180173	FALSE	0.831270480922741	0.934672312744899	NA	0.614830914722551	0.397304207843696	0.217526706878854	0.000578245623360534	0.367712172258974	"yes"	"Contig15900"	"13756"	"13756"
"1948"	"Contig1592_431738_431738"	10	0.00117559279151277	1.27523881229076	0.257680799036903	0.191441691147812	1.76363770358499	FALSE	0.851055546063016	0.893632904136932	NA	0.853664671742317	0.954299857231086	-0.100635185488769	0.0430886421158382	0.303654419390743	"yes"	"Contig1592"	"431738"	"431738"
"2078"	"Contig16852_100331_100331"	8	0.00016442138947204	-2.38182321991275	0.991614956274903	0.00289902660849649	0.549542230137164	FALSE	0.815384530223701	0.952911959009294	NA	0.634029378383841	0.137966766547357	0.496062611836484	0.00929449893703772	0.589649511508837	"yes"	"Contig16852"	"100331"	"100331"
"2328"	"Contig1776_537948_537948"	12	0.000934002498071809	1.35921631058724	0.887917274366247	0.0233121165362819	-3.24256527139638	FALSE	0.773289368947054	0.911361862817351	NA	0.0375949647506401	0.132004678353297	-0.0944097136026564	0.0364885218009035	0.563241635292948	"yes"	"Contig1776"	"537948"	"537948"
"3134"	"Contig2068_1641601_1641601"	11	0.000292534992873547	1.6145841785442	8.96769981923532e-07	1.06703784230247	-1.90187850064335	FALSE	0.825421187636545	0.966755255288602	NA	0.129896012862698	0.428666390470378	-0.29877037760768	0.0152645281962972	1.92179827259388e-05	"yes"	"Contig2068"	"1641601"	"1641601"
"3327"	"Contig21150_13941_13941"	9	2.22867679999067e-06	-1.38961909236877	2.711579078188e-14	1.01682882492467	0.315200793733814	FALSE	0.947278270039664	0.949572779913124	NA	0.57815420562196	0.254563754374537	0.323590451247423	0.000255844057982193	1.83504475189801e-12	"yes"	"Contig21150"	"13941"	"13941"
"3733"	"Contig22276_1033853_1033853"	11	0.000327666771115899	-1.11036676238784	0.564886079367647	0.0799760160916689	-0.73843632979955	FALSE	0.73070369994015	0.898786773119347	NA	0.323346169972148	0.136013488951241	0.187332681020907	0.0164092122461664	0.45984407779576	"yes"	"Contig22276"	"1033853"	"1033853"
"3740"	"Contig22276_1033909_1033909"	11	0.000210542018683688	-1.23677512904809	0.0145174808168426	0.404476790235202	-0.813328260451637	FALSE	0.728957209719179	0.949896054264251	NA	0.307181717411054	0.114041934762999	0.193139782648055	0.0113841679847604	0.0473669104875247	"yes"	"Contig22276"	"1033909"	"1033909"
"3885"	"Contig2260_1222226_1222226"	10	0.00120031972099355	1.22890567779691	0.0189711229470939	0.41711469584863	-1.15155883944412	FALSE	0.719413151954873	0.882914677404934	NA	0.24020446985402	0.519327075142742	-0.279122605288722	0.0434781764243297	0.0573960618829534	"yes"	"Contig2260"	"1222226"	"1222226"
"3933"	"Contig2260_1607850_1607850"	10	0.000502718057801485	2.55353175126731	0.0417635863192854	0.825810979939909	0.957970212718419	FALSE	0.808871050948293	0.957584868758477	NA	0.722715223897305	0.971013269113933	-0.248298045216628	0.0226187180569997	0.0985776663948173	"yes"	"Contig2260"	"1607850"	"1607850"
